INCID,OGDINCID,CALLFROM,CALLDATE,FAILDATE,EASTING,NORTHING,LOCATION,SLOPENUM,FEATTYPE,SCALE,FACAFF,CONSEC,CONSEC - DEATHNO,CONSEC - INJURYNO,CONSEC - EVACUATED,CONSEC - ROADCLOSED
2018/09/2272,-,Public,04/09/2018,-,833208,839427,"West of No.119 Shung Him Tong, Fanling",-,Soil Cut,0.3,Other (alleyway),-,-,-,-,-
2018/09/2271,-,Public,02/09/2018,02/09/2018,829274,809960,"Near Lamp Post No. 39181, 
Yung Shue Wan, Lamma Island",-,Soil Cut,1.5,Minor footpath,-,-,-,-,-
2018/09/2270,-,Police,05/09/2018,30/08/2018,828166,835339,"Behind Junior Police Call Permanent Activity Centre and Integrated Youth Training Camp, Pat Heung",-,Natural Hillside,32,Other (perimeter fencing),Steel chain link fences of Junior Police Call Permanent Activity Centre damaged,-,-,-,-
2018/09/2269,-,HyD,03/09/2018,02/09/2018,838992,809669,Junction of Repulse Bay Road and Headland Road,15NE-A/C240,Rock Cut,0.02,Road,-,-,-,-,-
2018/09/2268,-,FSD,02/09/2018,30/08/2018,829081,838876,"Above Feature 2SE-D/C233, Tong Kung Leng, Sheung Shui",-,Natural Hillside,3,Open area,-,-,-,-,-
2018/09/2267,-,Police,01/09/2018,01/09/2018,832700,840947,"Footpath to Siu Hang Sun Tsuen, Sheung Shui",-,Soil Cut,0.5,Minor footpath,-,-,-,-,-
2018/09/2266,-,LandsD,31/08/2018,30/08/2018,830740,841900,"Fu Tei Au Village, Fu Tei Au Road, Sheung Shui",3SW-A/F71,Fill Slope,13,Other (alleyway),-,-,-,-,-
2018/09/1056WS,WSD/2018/8/17/NTW,WSD,07/09/2018,-,819604,827008,"Adjoining WSD access road 
NT22 near Spot Level 44.9, 
Tai Lam Country Park",6SW-B/C250,Soil Cut,19.2,Access road,-,-,-,-,-
2018/09/1055LD,LandsD/2018/10/0204,LandsD,26/09/2018,-,820137,816251,"Nim Shue Wan, Lantau",10SW-B/FR80,Fill Slope,30,Open area,-,-,-,-,-
2018/09/1054LD,LandsD/2018/10/0202,LandsD,18/09/2018,-,828565,827250,"About 400 m from Tso Kung Tam Outdoor Recreation Centre, Tsuen Wan",6SE-B/CR382,Soil Cut,5,Registered squatter dwelling,-,-,-,-,-
2018/09/1053HY,HyD/NT/IS/2018-05,HyD,18/09/2018,18/09/2018,820779,808671,"Cheung Kwai Road, (near Feature No. 14NW-D/C304), Cheung Chau",-,Natural Hillside,3,Access road,-,-,-,-,-
2018/09/1052HY,HyD/NTW/2018/09/0018,HyD,09/10/2018,17/09/2018,832719,822571,"Cheung Hang Road, Kwai Chung",11NW-A/C110,Soil Cut,1.5,Access road,-,-,-,-,-
2018/09/1051AD,ArchSD/S/2018/09/0001,ArchSD,05/09/2018,-,838484,808026,"Chung Hom Kok Road 
(near Chung Hom Kok Park)",15NE-C/C75,Rock Cut,7,Pedestrian pavement,-,-,-,-,-
2018/09/1050AD,ArchSD/F/2018/09/0001,ArchSD,21/09/2018,21/09/2018,832818,837761,"Wo Hop Shek Cemetery, Fanling",-,Natural Hillside,1.7,Access road,-,-,-,-,-
2018/09/1049AD,ArchSD/F/2018/08/0009,ArchSD,01/09/2018,01/09/2018,831937,836815,"Wo Hop Shek Cemetery, Fanling",3SW-C/C792,Soil Cut,4,Other (cemetery),-,-,-,-,-
2018/09/1048AF,AFCD/2018/09/0003,AFCD,05/10/2018,26/09/2018,833609,827477,"Shing Mun Jogging Trail, 
Shing Mun Country Park",-,Natural Hillside,15,Access road,-,-,-,-,-
2018/09/1047AF,AFCD/2018/09/0002,AFCD,10/09/2018,03/09/2018,824015,829562,"Mountain Bike Trail - Ho Pui Section (Section C), Tai Lam",-,Natural Hillside,300,Minor footpath; Catchwater,Mountain bike trail and catchwater blocked,-,-,-,-
2018/09/1046AF,AFCD/2018/09/0001,AFCD,10/09/2018,03/09/2018,823979,829535,"Mountain Bike Trail - Ho Pui Section (Section C), Tai Lam",-,Natural Hillside,30,Minor footpath,-,-,-,-,-
2018/08/2265,-,BD,30/08/2018,-,838979,816788,No. 8 Kai Yuen Street,11SE-A/C99,Soil Cut,0.01,Minor footpath,-,-,-,-,-
2018/08/2264,-,HyD,31/08/2018,-,835532,840077,"Lau Shui Heung Road, Fanling",3SW-B/C344,Soil Cut,14,Road,-,-,-,-,-
2018/08/2263,-,Public,30/08/2018,30/08/2018,819684,825941,"Near Feature No. 6SW-D/C595, 
Siu Lam Road, Tuen Mun",-,Soil Cut,1,Other (alleyway),-,-,-,-,-
2018/08/2262,-,HyD,31/08/2018,31/08/2018,836394,813999,Mount Nicholson Road,-,Rock Cut,0.25,Road,-,-,-,-,-
2018/08/2261,-,Police,30/08/2018,30/08/2018,831787,843025,"Above Feature No. 3NW-C/C360, Kong Nga Po, Lo Wu",-,Natural Hillside,13,Construction site affected,-,-,-,-,-
2018/08/2260,-,Public,30/08/2018,29/08/2018,830143,837120,"Near Feature No. 3SW-C/CR610, Ying Pun, Fanling",-,Soil Cut,3,Other (watermain),-,-,-,-,-
2018/08/2259,-,Public,30/08/2018,29/08/2018,825073,830201,"Natural hillside above Ho Pui Village, Pat Heung",-,Natural Hillside,47,Open area,-,-,-,-,-
2018/08/2257,-,Public,30/08/2018,30/08/2018,830441,837063,"Near Feature No. 3SW-C/CR614, Ying Pun, Fanling",3SW-C/F164,Fill Slope,9.5,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2256,-,Public,30/08/2018,30/08/2018,833574,838364,"Near House No. 302, Wo Hop Shek Village, Fanling",-,Soil Cut,0.26,Registered squatter dwelling,-,-,-,-,-
2018/08/2255,-,GEO,30/08/2018,30/08/2018,824239,837149,"Behind House No. 45E, Sai Wai Tsuen, Yuen Long",2SE-C/CR186,Soil Cut,6.7,Other (storage structure),-,-,-,-,-
2018/08/2254,-,DLO,30/08/2018,29/08/2018,807672,809196,"Northwest of the Tung Wan Mok Law Shui Wah School, Shek Pik, Lantau Island",13NE-A/C170,Rock Cut,0.6,Access road,-,-,-,-,-
2018/08/2253,-,Public,30/08/2018,30/08/2018,819141,825423,"Near House No. 21A-7, Siu Lam Tsuen, Tuen Mun",-,Soil Cut,1,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2252,-,Public,30/08/2018,30/08/2018,830079,837140,"Near House No. 122, Chuk Chai Hang, Ying Pun, Fanling",3SW-C/C587,Soil Cut,44,Open area,-,-,-,-,-
2018/08/2251,-,Public,30/08/2018,30/08/2018,834179,839703,"Lung Shan Temple, Tung Kok Wai, Fanling",3SW-B/CR414,Soil Cut,12,Access road,-,-,-,-,-
2018/08/2248,-,Public,30/08/2018,30/08/2018,827426,834753,"Near Feature No. 6NE-B/C101, 
Ha Che Village, Pat Heung",-,Soil Cut,13,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2247,-,Public,30/08/2018,30/08/2018,816072,828741,"East of House Nos. 73 and 74, Tseng Tau Chung Tsuen, 
Tuen Mun",-,Soil Cut,1,Open area,-,-,-,-,-
2018/08/2246,-,Public,30/08/2018,30/08/2018,819631,825639,"Access road to Siu Lam Tsuen, Tuen Mun",6SW-D/C656,Soil Cut,6,Access road,-,-,-,-,-
2018/08/2244,-,Public,30/08/2018,-,822520,831493,"Sung Shan New Village, 
Yuen Long",6NE-C/C62,Soil Cut,0.7,Access road,-,-,-,-,-
2018/08/2243,-,HAD,30/08/2018,28/08/2018,828533,841371,"Near Feature No. 2SE-B/C229, Phoenix Garden, Sheung Shui",2SE-B/C229,Soil Cut,0.005,Other (open carpark),-,-,-,-,-
2018/08/2242,-,Police,30/08/2018,29/08/2018,832073,838893,"Wu Tip Shan Road (near Fung Ying Seen Koon), Fanling",-,Natural Hillside,3.8,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2241,-,Police,30/08/2018,29/08/2018,832074,838889,"Wu Tip Shan Road (near Fung Ying Seen Koon), Fanling",-,Natural Hillside,18,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2240,-,Police,30/08/2018,30/08/2018,833570,839678,"No. 402 Shung Him Tong, Fanling",3SW-A/C208,Soil Cut,41,Minor footpath,-,-,-,-,-
2018/08/2239,HyD/NTW/2018/08/0015,HyD,30/08/2018,30/08/2018,828969,836071,"Near Lamp Post No. BD1139, 
Fan Kam Road, Sheung Shui",2SE-D/C377,Soil Cut,95,Road,One lane of Fan Kam Road temporarily closed,-,-,-,1
2018/08/2238,-,HyD,30/08/2018,30/08/2018,833248,839669,"Lok Tung Street, Shung Him Tong Village, Fanling",3SW-A/CR235,Soil Cut,45,Access road,Access road temporarily closed,-,-,-,1
2018/08/2237,-,Public,30/08/2018,29/08/2018,830321,837740,"Above Feature No. 3SW-C/C280, Tai Lung Village, Sheung Shui",-,Natural Hillside,100,Road,-,-,-,-,-
2018/08/2236,-,Police,30/08/2018,30/08/2018,829321,836962,"Fan Kam Road (near Tsiu Keng Village), Sheung Shui",2SE-D/C338,Soil Cut,30,Road,One lane of Fan Kam Road temporarily closed,-,-,-,1
2018/08/2235,-,Public,29/08/2018,29/08/2018,830239,837854,"Adjacent to Feature No. 3SW-C/C559, Tai Lung Village, 
Sheung Shui",-,Soil Cut,0.5,Road,-,-,-,-,-
2018/08/2234,-,HyD,30/08/2018,29/08/2018,832782,827236,"Shing Mun Road (near Shing Mun Country Park Visitor Centre), 
Tsuen Wan",7SW-A/CR206,Soil Cut,1.3,Access road,-,-,-,-,-
2018/08/2232,-,Public,29/08/2018,29/08/2018,819671,825575,"Near Lamp Post No.VD5387, access road to Siu Lam Tsuen, 
Tuen Mun",-,Fill Slope,15,Access road,-,-,-,-,-
2018/08/2231,-,HyD,29/08/2018,29/08/2018,829407,836666,"Above Feature No. 2SE-D/C349, Ta Shek Wu Kiu Tau, Sheung Shui",-,Natural Hillside,300,Access road,A parked van damaged; access road temporarily closed ,-,-,-,1
2018/08/2230,-,HyD,29/08/2018,29/08/2018,828893,832991,"Wong Chuk Yuen, Chun Yiu Road, Shek Kong",6NE-B/C72,Soil Cut,37,Access road,Access road temporarily closed,-,-,-,1
2018/08/2229,-,HyD,29/08/2018,29/08/2018,828674,836031,"Near Lamp Post No. FB3670, 
Fan Kam Road, Pat Heung",-,Natural Hillside,1000,Road,Both lanes of Fan Kam Road temporarily closed,-,-,-,2
2018/08/2228,-,Police,29/08/2018,29/08/2018,828528,835960,"Fan Kam Road (near Ta Shek Wu), Pat Heung",-,Natural Hillside,550,Registered squatter dwelling; Road,Both lanes of Fan Kam Road temporarily closed; A storage structure washed away; Several vehicles and a container damaged,-,-,-,2
2018/08/2226,-,HyD,27/08/2018,-,837032,813267,"510 m northeast of South Island School, Black's Link",11SW-D/C2171,Soil/Rock Cut,0.2,Road,-,-,-,-,-
2018/08/2225,-,HyD,27/08/2018,-,834123,814775,Access road to No.28 Barker Road,-,Soil/Rock Cut,0.377,Access road,-,-,-,-,-
2018/08/2224,-,DLO,21/08/2018,19/08/2018,840536,826556,"Near Feature No. 7SE-C/C156, 
Ma On Shan Country Park, 
Ma On Shan",-,Natural Hillside,2,Minor footpath,Minor footpath temporarily closed,-,-,-,-
2018/08/2223,-,HyD,22/08/2018,-,835223,815005,Bowen Road,11SW-B/CR211,Soil Cut,0.2,Road,-,-,-,-,-
2018/08/2222,-,HyD,20/08/2018,20/08/2018,846373,827734,"Behind House No. 2, Tai Mong Tsai Road, Sai Kung",8SW-A/C23,Soil Cut,1.8,Village house,-,-,-,-,-
2018/08/2221,-,HyD,17/08/2018,-,835713,814429,Wan Chai Gap Road,-,Soil Cut,0.1,Road,-,-,-,-,-
2018/08/2220,-,Police,20/08/2018,-,844803,825402,"Junction of Mang Kung Wo Road and Hiram's Highway, Sai Kung",7SE-D/C98,Soil Cut,10,Road,One lane of Mang Kung Wo Road temporarily closed,-,-,-,1
2018/08/2219,-,HyD,19/08/2018,19/08/2018,837933,812733,Between Nos. 11 and 19 Repulse Bay Road,11SE-C/C15,Soil/Rock Cut,0.1,Road,-,-,-,-,-
2018/08/2218,HyD/K/2018/08/0014,FSD,19/08/2018,19/08/2018,838137,823516,"Near Lamp Post No. AB6033, Shatin Pass Road, Wong Tai Sin",-,Natural Hillside,0.25,Road,A parked van damaged; Shatin Pass Road (one lane road) temporarily closed ,-,-,-,1
2018/08/2217,-,BD,16/08/2018,13/08/2018,831486,815259,South of No. 96C Pok Fu Lam Road,11SW-A/C329,Soil Cut,0.045,Road,-,-,-,-,-
2018/08/2216,-,Public,13/08/2018,-,834120,814184,Below access path from the Chief Justice's House to Gough Hill Road,-,Fill Slope,28,Minor footpath,-,-,-,-,-
2018/08/2215,-,FSD,14/08/2018,-,835705,827217,"Near Feature No. 7SW-B/C535, Pak Tin Village (Area 2), Tai Wai, Shatin",-,Soil Cut,0.32,Minor footpath,-,-,-,-,-
2018/08/2214,-,Police,14/08/2018,-,813837,826493,"Near Hung Lau, Tuen Mun",-,Soil Cut,1,Road,-,-,-,-,-
2018/08/2213,-,HyD,13/08/2018,12/08/2018,833257,813544,Between Nos. 48 & 52 Mount Kellett Road,11SW-C/C249,Rock Cut,1,Road,-,-,-,-,-
2018/08/2212,-,CSD,11/08/2018,11/08/2018,832826,822182,"Hillside above Lai Chi Kok Reception Centre, Sham Shiu Po",-,Natural Hillside,4,Other (perimeter fencing),Steel chain link fences of Lai Chi Kok Reception Centre damaged,-,-,-,-
2018/08/2210,-,Police,11/08/2018,-,831712,827007,"House No. 139, Kiu Tau Village, Tsuen Wan",-,Natural Hillside,7,Registered squatter dwelling,One squatter dwelling temporarily evacuated,-,-,4,-
2018/08/2209,-,Police,11/08/2018,11/08/2018,833579,838345,"House No. 303, Wo Hop Shek Village, Fanling",3SW-C/CR923,Soil Cut,2,Registered squatter dwelling,One squatter dwelling temporarily evacuated,-,-,2,-
2018/08/2208,-,HyD,09/08/2018,-,836167,820195,122 Argyle Street,11NW-D/C16,Rock Cut,0.005,Pedestrian pavement,-,-,-,-,-
2018/08/2207,-,HyD,06/08/2018,-,834585,814932,"Opposite to The Harbour View, Magazine Gap Road",-,Natural Hillside,3,Road,-,-,-,-,-
2018/08/1045WS,WSD/2018/8/1/HKI,WSD,31/08/2018,-,840329,811773,Tai Tam Reservoir Road,15NE-A/C211,Soil/Rock Cut,0.06,Access road,-,-,-,-,-
2018/08/1044WS,WSD/2018/8/16/NTW,WSD,30/08/2018,-,827690,831174,"Tai Lam Chung Catchwater (Section C, CH.4650), 
Tai Lam Country Park",6NE-D/CR275,Soil Cut,24,Catchwater,-,-,-,-,-
2018/08/1043WS,WSD/2018/8/15/NTW,WSD,30/08/2018,-,823881,829556,"Tai Lam Chung Catchwater (Section A, CH0075 - CH0190), Tai Lam Country Park",6SE-A/CR187,Soil Cut,10,Catchwater,Catchwater blocked,-,-,-,-
2018/08/1042WS,WSD/2018/8/14/NTW,WSD,30/08/2018,-,824316,829754,"Tai Lam Chung Catchwater (Section A, CH0685 - CH0770), Tai Lam Country Park",6SE-A/C130,Soil/Rock Cut,20,Catchwater,Catchwater blocked,-,-,-,-
2018/08/1041WS,WSD/2018/8/13/NTW,WSD,30/08/2018,-,823931,829595,"Tai Lam Chung Catchwater (Section A, CH0190 - CH0257), Tai Lam Country Park",6SE-A/CR213,Soil Cut,30,Catchwater,-,-,-,-,-
2018/08/1040WS,WSD/2018/8/12/NTW,WSD,30/08/2018,-,824162,829736,"Tai Lam Chung Catchwater (Section A, CH0540 - CH0575), Tai Lam Country Park",6SE-A/C132,Soil Cut,45,Catchwater,-,-,-,-,-
2018/08/1039WS,WSD/2018/8/10/NTW,WSD,30/08/2018,-,823756,829633,"Tai Lam Chung Catchwater (Section E, CH0040 - CH0065), 
Tai Lam Country Park",6SE-A/CR192,Soil/Rock Cut,44,Catchwater,Catchwater blocked,-,-,-,-
2018/08/1038WS,WSD/2018/8/9/NTW,WSD,30/08/2018,-,823615,829439,"Adjoining WSD access road NT31 near Spot Level 88.1, 
Tai Lam Country Park",6SE-A/C180,Soil Cut,7.5,Access road,Access road temporarily closed,-,-,-,1
2018/08/1037WS,WSD/2018/8/8/NTW,WSD,30/08/2018,-,826424,830821,"Adjoining WSD access road NT31, 350 m west of Tsing Tam Reservoir, Tai Lam Country Park",6NE-D/C277,Soil Cut,7.5,Access road,Access road temporarily closed,-,-,-,1
2018/08/1036WS,WSD/2018/8/7/NTW,WSD,30/08/2018,-,821420,826596,"Adjoining WSD access road NT31 near Spot Levels 96.3, 98.6 & 101.3, Tai Lam Country Park",6SW-D/C606,Soil Cut,7.5,Access road,-,-,-,-,-
2018/08/1035WS,WSD/2018/8/6/NTW,WSD,30/08/2018,-,823335,829274,"Adjoining WSD access road 
NT31 near Spot Level 81.6, 
Tai Lam Country Park",6SE-A/C98,Soil Cut,6,Access road,-,-,-,-,-
2018/08/1034WS,WSD/2018/8/5/NTW,WSD,30/08/2018,-,820975,825933,"Adjoining WSD access road NT31, Tai Lam Country Park",6SW-D/C472,Soil/Rock Cut,1.8,Access road,-,-,-,-,-
2018/08/1033WS,WSD/2018/8/4/NTW,WSD,30/08/2018,-,827002,830937,"Adjoining WSD access road NT31, 40 m north of Tsing Tam Reservoir, Tai Lam Country Park",6NE-D/C269,Soil Cut,32,Access road,Access road temporarily closed,-,-,-,1
2018/08/1032WS,WSD/2018/8/3/NTW,WSD,30/08/2018,-,824831,830077,"Adjoining WSD access road NT31, Tai Lam Country Park",6NE-C/C247,Soil Cut,42,Access road,Access road temporarily closed,-,-,-,1
2018/08/1031WS,WSD/2018/8/2/NTW,WSD,30/08/2018,-,822914,828430,"Adjoining WSD access road NT31 near Spot Level 93.0, Tai Lam Country Park",6SE-A/C237,Soil Cut,70,Access road,Access road temporarily closed,-,-,-,1
2018/08/1030LD,LandsD/2018/08/0139,LandsD,20/08/2018,20/08/2018,813975,810561,"No. 40 South Lantau Road, Lantau",13NE-B/C30,Soil/Rock Cut,0.08,Open area,-,-,-,-,-
2018/08/1029LD,LandsD/2018/10/0197,LandsD,03/10/2018,-,855371,827833,"Footpath from Sai Wan Pavilion to Sai Wan Village, Sai Kung",8SE-A/C94,Soil/Rock Cut,1,Access road,-,-,-,-,-
2018/08/1028AD,ArchSD/F/2018/08/0008,ArchSD,31/08/2018,31/08/2018,832214,837231,"Wo Hop Shek Cemetery, Fanling",3SW-C/C342,Soil Cut,1.6,Access road,Access road temporarily closed,-,-,-,1
2018/08/1027AD,ArchSD/F/2018/08/0007,ArchSD,30/08/2018,30/08/2018,832373,837301,"Wo Hop Shek Cemetery, Fanling",-,Natural Hillside,20,Other (cemetery),-,-,-,-,-
2018/08/1026AD,ArchSD/F/2018/08/0006,ArchSD,31/08/2018,31/08/2018,832513,837093,"Wo Hop Shek Cemetery, Fanling",3SW-C/C667,Soil Cut,4,Other (cemetery),-,-,-,-,-
2018/08/1025AD,ArchSD/F/2018/08/0005,ArchSD,30/08/2018,30/08/2018,831891,836662,"Wo Hop Shek Cemetery, Fanling",3SW-C/CR779,Soil Cut,15,Access road,-,-,-,-,-
2018/08/1024AD,ArchSD/F/2018/08/0004,ArchSD,30/08/2018,30/08/2018,833352,837984,"Wo Hop Shek Cemetery, Fanling",3SW-C/C412,Soil Cut,2.5,Pedestrian pavement,-,-,-,-,-
2018/08/1023AD,ArchSD/F/2018/08/0003,ArchSD,31/08/2018,31/08/2018,832151,836837,"Wo Hop Shek Cemetery, Fanling",3SW-C/C781,Soil Cut,10,Other (cemetery),-,-,-,-,-
2018/08/1022AD,ArchSD/F/2018/08/0002,ArchSD,31/08/2018,31/08/2018,832078,837180,"Wo Hop Shek Cemetery, Fanling",3SW-C/DT78,Disturbed Terrain,12,Other (cemetery),-,-,-,-,-
2018/08/1021AD,ArchSD/F/2018/08/0001,ArchSD,31/08/2018,31/08/2018,831967,837282,"Wo Hop Shek Cemetery, Fanling",3SW-C/DT84,Disturbed Terrain,20,Other (cemetery),-,-,-,-,-
2018/08/1020AD,ArchSD/TM/2018/08/0001,ArchSD,30/08/2018,30/08/2018,820463,825936,"Tai Lam Centre for Women, 
110 Tai Lam Chung Road, 
Tai Lam Chung",6SW-D/FR289,Fill Slope,6,Other (open carpark),-,-,-,-,-
2018/08/1019AD,ArchSD/YL/2018/08/0003,ArchSD,22/08/2018,22/08/2018,826489,837851,"Near Ying Pun RTHK TV Transmitting Station, Yuen Long",2SE-D/C18,Soil/Rock Cut,4,Access road,-,-,-,-,-
2018/08/1018AD,ArchSD/YL/2018/08/0002,ArchSD,22/08/2018,22/08/2018,827230,837687,"Near Ying Pun RTHK TV Transmitting Station, Yuen Long",2SE-D/C40,Soil/Rock Cut,8,Access road,-,-,-,-,-
2018/08/1017AD,ArchSD/YL/2018/08/0001,ArchSD,22/08/2018,22/08/2018,827277,837603,"Near Ying Pun RTHK TV Transmitting Station, Yuen Long",2SE-D/C39,Soil Cut,1,Access road,-,-,-,-,-
2018/08/1016AF,AFCD/2018/08/0002,AFCD,10/09/2018,31/08/2018,822474,828660,"Tai Lam Forest Track - Tai Long Section, Tai Lam Country Park",6SW-B/C241,Soil Cut,25,Minor footpath,-,-,-,-,-
2018/08/1015AF,AFCD/2018/08/0001,AFCD,10/09/2018,30/08/2018,824879,828045,"Tai Lam Forest Track - Tin Fu Tsai Section, Tai Lam Country Park",6SE-A/C261,Soil Cut,10,Access road,-,-,-,-,-
2018/07/2206,-,Public,23/07/2018,23/07/2018,831798,809121,"20m southwest to the temple, Luk Chau Village, Lamma Island",15NW-A/CR96,Rock Cut,0.5,Registered squatter dwelling,-,-,-,-,-
2018/07/2205,-,Public,09/07/2018,-,835209,832505,"Behind House 48F, Sha Po Tsai Village, Tai Po",-,Soil Cut,2,Other (stream course),-,-,-,-,-
2018/07/2204,-,HyD,19/07/2018,19/07/2018,838324,814625,No. 111 Mount Butler Road,-,Rock Cut,0.05,Road,-,-,-,-,-
2018/07/2203,-,HyD,15/07/2018,-,844333,819576,"Po Lam Road South, 
Tseung Kwan O",11NE-D/C571,Soil Cut,0.01,Road,-,-,-,-,-
2018/07/2202,-,HyD,15/07/2018,-,839817,809476,Stanley Gap Road,15NE-A/C241,Rock Cut,0.17,Road,One lane of Stanley Gap Road (Southbound) temporarily closed,-,-,-,1
2018/07/2201,-,Police,14/07/2018,14/07/2018,842923,822184,"8 Pak Shek Wo San Tsuen Rd, Clear Water Bay, Sai Kung",11NE-B/C405,Soil Cut,0.01,Registered squatter dwelling,-,-,-,-,-
2018/07/2200,-,FSD,13/07/2018,13/07/2018,845601,826876,"Sun King Terrace, Sai Kung",-,Retaining Wall (Masonry),20,Minor footpath,-,-,-,-,-
2018/07/2199,HyD/NTE/2018/06/0013,Public,15/06/2018,-,835527,834092,"Wan Tau Kok Lane, Opposite to Mok Sau Tseng Secondary School, Tai Po",-,Soil Cut,0.3,Road,-,-,-,-,-
2018/07/2197,-,Public,03/07/2018,-,833865,835569,"South of junction of Hong Lok Road and Hong Lok Yuen Fourth Street, Hong Lok Yuen, Tai Po",7NW-B/C57,Soil Cut,5.5,Nil,-,-,-,-,-
2018/07/2196,-,FSD,08/07/2018,05/07/2018,835653,833364,"Near House No. 54, Shan Tong Village, Tai Po",-,Soil Cut,18.8,Open area,-,-,-,-,-
2018/07/2195,-,DO,26/06/2018,-,845016,843126,"Footpath of Lai Chi Wo, Sha Tau Kok",-,Soil Cut,5.5,Minor footpath,-,-,-,-,-
2018/07/1014AF,AFCD/2018/07/0003,AFCD,26/07/2018,15/07/2018,836375,832341,"Tai Po Kau Forest Track - Kau Lead Section, Tai Po",7NW-D/C47,Soil Cut,30,Access road,-,-,-,-,-
2018/07/1013AF,AFCD/2018/07/0002,AFCD,26/07/2018,15/07/2018,836321,831780,"Tai Po Kau Forest Track - Kau Lead Section, Tai Po",7NW-D/C251,Soil Cut,10,Access road,-,-,-,-,-
2018/07/1012AF,AFCD/2018/07/0001,AFCD,10/07/2018,05/07/2018,834098,829722,"Shing Mun Forest Track - Lead Mine Pass Section, Shing Mun Country Park",-,Natural Hillside,35,Access road,-,-,-,-,-
2018/06/2194,HyD/NTE/2018/06/0011,HyD,28/06/2018,-,840704,845787,"Zone: 267, Lin Ma Hang Road, 
Sha Tau Kok",3NE-A/C108,Soil Cut,2,Road,-,-,-,-,-
2018/06/2193,-,BD,25/06/2018,23/06/2018,836888,814253,"Nos. 27-29 Village Terrace, 
Happy Valley",11SW-D/C2278,Soil/Rock Cut,0.14,Building; Open area,-,-,-,-,-
2018/06/2192,HyD/NTE/2018/06/0012,Public,26/06/2018,26/06/2018,835455,835744,"Adjacent to DD 11 Lot 1479, 
Nam Hang, Tai Po",-,Natural Hillside,3.14,Minor footpath,-,-,-,-,-
2018/06/2191,-,Public,25/06/2018,13/06/2018,829576,809327,"Behind House No. 26, Tai Shan East Village, Lamma Island",-,Soil Cut,0.1,Other (backyard),-,-,-,-,-
2018/06/2190,-,Public,25/06/2018,25/06/2018,839501,826667,"Behind Village Office of Ngau Pei Sha New Village, Shatin",-,Soil Cut,0.3,Other (alleyway),-,-,-,-,-
2018/06/2189,-,BD,25/06/2018,23/06/2018,831528,815267,"Behind Y Y Mansions, No. 96D Pok Fu Lam Road",11SW-A/C329,Rock Cut,0.3,Open area,-,-,-,-,-
2018/06/2188,-,FSD,23/06/2018,23/06/2018,822598,824928,"Near DD 388 Lot 98 RP, 
Tsing Lung Tau, Tsuen Wan",6SE-C/C533,Soil Cut,0.13,Registered squatter dwelling,-,-,-,-,-
2018/06/2187,-,CEDD,20/06/2018,-,839349,809051,"Near Feature No. 15NE-A/C693, Cape Road",-,Natural Hillside,2,Pedestrian pavement,-,-,-,-,-
2018/06/2185,-,HyD,18/06/2018,18/06/2018,828243,825647,"644 Castle Peak Road, Tsuen Wan",6SE-D/C24,Soil Cut,1,Nil,-,-,-,-,-
2018/06/2184,-,Public,15/06/2018,-,827511,840635,"Near Lamp Post No. VD8465, 
Kwu Tung",-,Retaining Wall,3.5,Other (crest platform outside cottage),-,-,-,-,-
2018/06/2183,-,Public,13/06/2018,13/06/2018,829489,809900,"Behind House No. 59, Po Wah Yuen, Lamma Island",14NE-B/CR239,Soil Cut,5,Village house,-,-,-,-,-
2018/06/2182,-,Public,14/06/2018,-,834170,822736,"Near Feature No. 11NW-B/C293, Tai Po Road, Sham Shiu Po",-,Natural Hillside,2.6,Open area,-,-,-,-,-
2018/06/2181,-,Public,12/06/2018,-,830385,837874,"Near Lamp Post No. VA8386, 
Tai Lung, Sheung Shui",-,Soil Cut,0.5,Minor footpath,-,-,-,-,-
2018/06/2180,-,Public,13/06/2018,07/06/2018,836768,832628,"West of House No. 8, Lai Chi Hang Village, Tai Po",7NW-D/C217,Soil Cut,1.2,Open area,-,-,-,-,-
2018/06/2179,-,LandsD,13/06/2018,08/06/2018,835159,832536,"Below Feature No. 7NW-D/C96, San Uk Ka, Tai Po",-,Soil Cut,2,Registered squatter dwelling; Minor footpath,-,-,-,-,-
2018/06/2177,-,Public,13/06/2018,07/06/2018,835143,833048,"Yue Kok Village, Lai Chi Shan, 
Tai Po",-,Soil Cut,45,Open area,-,-,-,-,-
2018/06/2175,-,Public,12/06/2018,11/06/2018,836228,812396,Southeast of Aberdeen Tunnel Toll Plaza,11SW-D/F208,Fill Slope,2,Road; Open area ,-,-,-,-,-
2018/06/2174,-,BD,11/06/2018,09/06/2018,803318,813156,"Hong Kong Shaolin Wushu Culture Centre, Tai O, Lantau Island",9SW-C/C5,Soil Cut,1.6,Building,-,-,-,-,-
2018/06/2173,-,LandsD,12/06/2018,11/06/2018,847587,819940,"70 m southeast of Feature No. 12NW-C/C298, Hang Hau Wing Lung Road, Sai Kung",-,Soil Cut,3.5,Road,-,-,-,-,-
