date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Station
20/8/2023,29.9,28,31,3.1,77,8.3,1007.5,hk intl airport
21/8/2023,30.1,28,32,6.1,107,11.1,1007.7,hk intl airport
22/8/2023,30.4,28,33,8.1,139,9.6,1005.9,hk intl airport
23/8/2023,30.9,29,33,1.7,158,11.5,1005.2,hk intl airport
24/8/2023,29.4,28,31,3.2,94,10.5,1006.6,hk intl airport
25/8/2023,29.7,28,31.4,10.2,65,9.5,1006.8,hk intl airport
26/8/2023,30.2,28,32,5.5,93,10.2,1005.1,hk intl airport
27/8/2023,30.2,28.9,32,12.7,115,10.5,1003,hk intl airport
28/8/2023,30.1,28,32,1,104,9.2,1002.4,hk intl airport
29/8/2023,28.8,26.8,31,8.2,25,10.1,1003.7,hk intl airport
30/8/2023,29,27,31.1,2.2,3,16.4,1004.4,hk intl airport
31/8/2023,28.8,27,31,0.3,347,17.3,1003.3,hk intl airport
1/9/2023,27.3,25.2,29,76.8,334,33.9,998.3,hk intl airport
2/9/2023,26.7,25.5,27.6,69.2,92,37,998.9,hk intl airport
3/9/2023,29.9,27,33,7.1,98,17.6,1001.8,hk intl airport
4/9/2023,30.1,28,33.1,0.7,291,10.5,1002.3,hk intl airport
5/9/2023,29.8,28.7,31,3.1,310,14.3,1003.9,hk intl airport
6/9/2023,29.9,28.9,32,1.5,286,9.3,1005.4,hk intl airport
7/9/2023,28.2,26,31,25.3,126,9.2,1006,hk intl airport
8/9/2023,26.2,25.8,27,36.9,97,18.8,1007.5,hk intl airport
9/9/2023,26.8,25.8,28,25,103,19.2,1007.7,hk intl airport
10/9/2023,26,25,27,39,100,17.6,1007.9,hk intl airport
11/9/2023,27.5,26,30,21.5,93,17.1,1006.9,hk intl airport
12/9/2023,28.2,26,31,2.8,96,14.6,1006.3,hk intl airport
13/9/2023,28.9,27,31.3,1.4,103,17.3,1006.3,hk intl airport
14/9/2023,27.3,26,29.2,11.1,89,11.6,1007.5,hk intl airport
15/9/2023,28.5,26,32,13.7,88,14.3,1009.1,hk intl airport
16/9/2023,27.9,26,30,18.8,83,13.3,1010.8,hk intl airport
17/9/2023,29.3,27,32,12.4,88,11.9,1010.6,hk intl airport
18/9/2023,29.6,27.6,32,1.2,96,9.9,1011.3,hk intl airport
19/9/2023,29.7,27.8,32.1,2.9,93,9.6,1011.6,hk intl airport
20/9/2023,30,28,33,1.5,155,9.4,1011,hk intl airport
21/9/2023,30.4,27.8,34,0.7,237,10,1010.6,hk intl airport
22/9/2023,30.6,28.7,33,1.7,73,10.2,1010.4,hk intl airport
23/9/2023,30.7,28,34,0,91,14.8,1010.5,hk intl airport
24/9/2023,30.7,29,34,1.5,88,18.3,1009.8,hk intl airport
25/9/2023,30.6,28.9,33.3,3.4,95,19.3,1009.8,hk intl airport
26/9/2023,30.8,28.6,34.3,2,92,18.8,1010.5,hk intl airport
27/9/2023,30.9,28.9,33.5,0.2,100,18.6,1010.4,hk intl airport
28/9/2023,31.2,29,34.4,5.3,96,19.1,1011.5,hk intl airport
29/9/2023,30.4,27.6,34,2.8,72,12.1,1012,hk intl airport
30/9/2023,30.6,28,33,0.8,41,8.5,1010.6,hk intl airport
1/10/2023,30.4,28,34,3.3,100,11.6,1009.6,hk intl airport
2/10/2023,30.4,28,33,1.5,108,17.2,1011.1,hk intl airport
3/10/2023,30,28,32,1.9,199,11.1,1010.7,hk intl airport
4/10/2023,30.9,28.9,34.3,1.6,285,10.2,1009.2,hk intl airport
5/10/2023,30.6,29,33,0,1,19.2,1007.7,hk intl airport
6/10/2023,28.3,25.2,31.4,0.8,8,18.8,1008.8,hk intl airport
7/10/2023,24.7,22.5,26.7,34.3,0,24.4,1009.5,hk intl airport
8/10/2023,23.2,21.6,24.1,126.7,14,25.4,1009.6,hk intl airport
9/10/2023,23,21.8,24.1,89.7,43,19.9,1013.3,hk intl airport
10/10/2023,24.8,22.8,27,7.1,30,16.8,1015.7,hk intl airport
11/10/2023,25.5,23,28,0,38,14.8,1017,hk intl airport
12/10/2023,25.7,23,28,0,42,13.2,1017.7,hk intl airport
13/10/2023,27.2,25,29,0.2,27,15.8,1015.6,hk intl airport
14/10/2023,27.1,25,30,0,36,11.4,1013.4,hk intl airport
15/10/2023,27.2,25,30,0.1,63,11.9,1013.2,hk intl airport
16/10/2023,27.4,25.6,30,1,70,16.8,1014.8,hk intl airport
17/10/2023,27.1,25.3,29,21.5,78,23.3,1015.3,hk intl airport
18/10/2023,25.4,23.9,27,34.3,86,22.5,1014.9,hk intl airport
19/10/2023,26.3,25,27,18.5,97,19.3,1014.4,hk intl airport
20/10/2023,26.5,24.9,28,5.4,66,14.8,1015.1,hk intl airport
21/10/2023,22.2,21,24,1,31,19.7,1018.9,hk intl airport
22/10/2023,23.2,21,25.6,0,12,15.4,1019.1,hk intl airport
23/10/2023,25.8,23.7,29,0,34,11.4,1017.4,hk intl airport
24/10/2023,27.1,25,30,2,47,10.1,1016.3,hk intl airport
25/10/2023,27.5,25.5,30,0,100,13.5,1015.4,hk intl airport
26/10/2023,27,25,30,0,96,12.3,1014.4,hk intl airport
27/10/2023,27.2,24.2,30,0,95,12.6,1013.7,hk intl airport
28/10/2023,26.5,25.8,28.1,2.5,95,13.5,1014.6,hk intl airport
29/10/2023,26.1,25,28,0.5,94,15,1015.9,hk intl airport
30/10/2023,26.5,25,29,0.8,51,12.3,1017,hk intl airport
31/10/2023,26.1,24,29,0.1,71,12.6,1018.3,hk intl airport
1/11/2023,26.1,24,30,0,75,12.6,1017.6,hk intl airport
2/11/2023,26.6,25,29,0,85,10.5,1015.4,hk intl airport
3/11/2023,26.6,24,30,0,86,10.3,1013.5,hk intl airport
4/11/2023,27,24,30,0,87,12.7,1013.7,hk intl airport
5/11/2023,27.3,25,30.5,0,91,9.8,1014.3,hk intl airport
6/11/2023,28,24.9,31.6,0,40,13,1015.2,hk intl airport
7/11/2023,26,24.6,27,14.4,75,14.7,1016.5,hk intl airport
8/11/2023,26,25,27,0,95,19.5,1015.5,hk intl airport
9/11/2023,26.4,25,29,0.6,93,17.3,1015.2,hk intl airport
10/11/2023,27.4,25.8,30,0,92,14.8,1015.6,hk intl airport
11/11/2023,25.9,25,27,0,98,19.4,1017.4,hk intl airport
12/11/2023,24.7,22.2,27,0,54,14.8,1020.1,hk intl airport
13/11/2023,21.5,20,24,0,18,21.4,1023.2,hk intl airport
14/11/2023,20.4,18,23.3,0,15,14.8,1023,hk intl airport
15/11/2023,22.5,19,27,0,74,13.4,1021.7,hk intl airport
16/11/2023,21.6,17.8,24,0,5,24.4,1024.2,hk intl airport
17/11/2023,18.9,15,23,0,19,22.8,1024.7,hk intl airport
18/11/2023,19.8,17,24,0,40,14.8,1023,hk intl airport
19/11/2023,20.8,18.8,24,0,97,10.4,1021,hk intl airport
20/11/2023,21.4,17.9,25,0,88,8.1,1019.4,hk intl airport
21/11/2023,22.6,20.3,26,0,81,10.5,1017.5,hk intl airport
22/11/2023,22.9,20,26,0,86,9.6,1016.2,hk intl airport
23/11/2023,23.1,19.9,26,0,81,8.5,1016.3,hk intl airport
24/11/2023,23.7,21,27,0,87,17.1,1019.3,hk intl airport
25/11/2023,22.8,20,26.1,0,91,17.7,1020.8,hk intl airport
26/11/2023,22.6,20,26,0,70,12.3,1020.2,hk intl airport
27/11/2023,23.1,19.4,27,0,84,7.6,1018.2,hk intl airport
28/11/2023,23.4,20,27.3,0,80,16.4,1018.7,hk intl airport
29/11/2023,23.5,21.5,26,0,82,14.7,1018.5,hk intl airport
30/11/2023,24.5,22,27.2,0,66,12,1019.9,hk intl airport
1/12/2023,21.6,19.6,23,0,37,15.3,1021.8,hk intl airport
2/12/2023,19.6,18,21.1,0,31,11.7,1021.9,hk intl airport
3/12/2023,21.9,20.4,24.3,0,31,12.1,1020.3,hk intl airport
4/12/2023,22.1,20.7,24,0,359,13.1,1017.4,hk intl airport
5/12/2023,21.7,19.7,24,0,337,11.2,1015.8,hk intl airport
6/12/2023,21.4,20,22,0,7,14.8,1017.8,hk intl airport
7/12/2023,20.9,18,24,0,13,12.7,1018.1,hk intl airport
8/12/2023,21.9,18,25,0,88,11.4,1016.5,hk intl airport
9/12/2023,24.1,22,27.4,0,91,14.8,1014.2,hk intl airport
10/12/2023,25.2,23,28,0,90,16.4,1013.5,hk intl airport
11/12/2023,25,23,28,0,63,10.1,1014.5,hk intl airport
12/12/2023,25,22.8,28,0,16,11.4,1016.2,hk intl airport
13/12/2023,23.3,22.6,25.2,0,92,18.9,1019,hk intl airport
14/12/2023,24.3,22,27,0.2,83,14.9,1018.5,hk intl airport
15/12/2023,25.9,24,29,0.3,84,14.5,1015.9,hk intl airport
16/12/2023,18.4,12.7,25,0.9,20,24.3,1021,hk intl airport
17/12/2023,12.2,10.5,14,0,25,18.8,1025.6,hk intl airport
18/12/2023,15.9,13,18,0.4,4,13.9,1022.3,hk intl airport
19/12/2023,14.5,13.3,17,0,348,19.5,1022.4,hk intl airport
20/12/2023,13,10.3,16,0,13,21.5,1024.4,hk intl airport
21/12/2023,10.5,9,12,0,13,23.2,1027.9,hk intl airport
22/12/2023,10.2,8,12,0,22,19.4,1030.8,hk intl airport
23/12/2023,10.9,8.9,13,0,22,19.7,1030.6,hk intl airport
24/12/2023,12.8,9,16.5,0,10,19.9,1029.2,hk intl airport
25/12/2023,14.6,11.8,18,0,33,15,1027,hk intl airport
26/12/2023,16.6,13,20,0,84,8.7,1025.2,hk intl airport
27/12/2023,18.9,16.9,21.2,0.5,22,7.5,1024,hk intl airport
28/12/2023,20.6,18.8,23,0,53,9.8,1022.2,hk intl airport
29/12/2023,20.4,18,23,0,81,11.8,1020.8,hk intl airport
30/12/2023,20.8,18,24,0,355,10.7,1018.5,hk intl airport
31/12/2023,21.6,18.8,24.2,0,341,8.4,1018,hk intl airport
1/1/2020,17.2,12.8,23.3,0,51,8.1,1026.5,Taipa
2/1/2020,17.7,11.7,22,0,54,5.7,1025.3,Taipa
3/1/2020,19.6,11.4,25,0,26,5.1,1023,Taipa
4/1/2020,20.6,12,26.3,0,54,5,1020.4,Taipa
5/1/2020,21.3,13.4,26.3,0,53,4.4,1020.3,Taipa
6/1/2020,22.5,16.1,25.2,0,107,6.3,1018.8,Taipa
7/1/2020,22.1,16.8,27.4,0,325,6,1017.1,Taipa
8/1/2020,20.8,13.7,27.4,0,32,9.3,1018.7,Taipa
9/1/2020,20.4,13.7,27.2,0,56,6.2,1017.7,Taipa
10/1/2020,21.4,15.2,25.7,0,116,6.4,1015.6,Taipa
11/1/2020,14.5,12,25.7,0,23,12.9,1016.2,Taipa
12/1/2020,14.1,9.6,22.9,0.3,354,14.5,1019.1,Taipa
13/1/2020,15.6,9.7,19.8,,42,7.4,1018.5,Taipa
14/1/2020,16.5,10.7,21.3,0,21,8.9,1019,Taipa
15/1/2020,20,11.7,24.1,0,99,9.3,1017.9,Taipa
16/1/2020,16.2,9.9,24.8,3.3,1,11.4,1017.8,Taipa
17/1/2020,13.1,9.9,24.8,3,347,16.6,1021.7,Taipa
18/1/2020,14,10.5,18.3,0,18,9.6,1020.7,Taipa
19/1/2020,12.1,10.5,18.3,0,356,13.3,1022.6,Taipa
20/1/2020,15.7,10.6,19.1,0,10,6.1,1022.7,Taipa
21/1/2020,18.4,11.7,22.1,0,76,6.3,1021.8,Taipa
22/1/2020,21,13.9,25.6,0,77,5.2,1019,Taipa
23/1/2020,23,16.4,28,0,118,6.1,1016.5,Taipa
24/1/2020,21.4,17.2,27.9,0,73,4.9,1017.4,Taipa
25/1/2020,13.8,12.7,26,5.6,355,14,1017.3,Taipa
26/1/2020,10.2,9.5,20.9,13.2,334,18.5,1017.6,Taipa
27/1/2020,9.8,7.2,13.9,0,345,18.7,1018.8,Taipa
28/1/2020,11,7,15.4,0,0,16.8,1020.5,Taipa
29/1/2020,12.2,4.5,17,0,6,15.1,1022,Taipa
30/1/2020,12.6,3.6,19,0,358,14.8,1022.7,Taipa
31/1/2020,13.4,3.5,19,0,30,6.2,1022.5,Taipa
1/2/2020,15.6,5.1,20.4,0,26,5.3,1022.1,Taipa
2/2/2020,16.4,6.3,20.4,0,66,5.8,1021.9,Taipa
3/2/2020,13.6,11.6,18.2,12.7,7,8.8,1020.8,Taipa
4/2/2020,13.8,11.6,16.6,9.1,353,7.5,1021.2,Taipa
5/2/2020,15.6,11.9,17.7,1,9,5.2,1020.9,Taipa
6/2/2020,16.6,13,19,0,101,6.2,1019.2,Taipa
7/2/2020,16.1,15.2,19,0.5,358,9.4,1021.5,Taipa
8/2/2020,15.3,11.8,19,0,12,14,1024.7,Taipa
9/2/2020,14.3,11.7,19.2,0,2,12.2,1026.8,Taipa
10/2/2020,15.1,12,17.7,0,19,5.3,1023.6,Taipa
11/2/2020,16.1,12.6,18.6,2.3,0,4,1020.7,Taipa
12/2/2020,18.2,14.6,21.5,0.3,358,2.8,1018.1,Taipa
13/2/2020,19.8,15.4,24,11.4,90,6.6,1015,Taipa
14/2/2020,20.7,17.6,22,25.7,107,6.4,1012.6,Taipa
15/2/2020,15.4,12,21.8,67.6,86,13.1,1013.1,Taipa
16/2/2020,9.4,6.3,20.5,1,355,24.2,1023.6,Taipa
17/2/2020,11.9,6.2,17,0,2,17.6,1028,Taipa
18/2/2020,13.2,5.5,19.1,0,18,8.6,1026.8,Taipa
19/2/2020,16.4,5.5,21.2,0,11,5.5,1024.4,Taipa
20/2/2020,18.2,7.2,24,0,60,5.3,1024.4,Taipa
21/2/2020,19.5,10.7,25.1,0,34,5.8,1026.3,Taipa
22/2/2020,21.3,12.2,27.4,0,359,5.6,1025.5,Taipa
23/2/2020,20.9,13.2,27.4,0,22,4.8,1024,Taipa
24/2/2020,22.2,13.9,26.9,0,143,9,1019.8,Taipa
25/2/2020,22.9,15.5,28,0,114,5.4,1017.6,Taipa
26/2/2020,23.9,16.4,29,0,339,4.8,1017.7,Taipa
27/2/2020,22.6,16.2,29,0,115,6.9,1018.2,Taipa
28/2/2020,20.1,16,26.7,0,121,6.4,1017.9,Taipa
29/2/2020,23.2,16,28,0,118,7,1014.3,Taipa
1/3/2020,22.6,17,27.8,0,36,6.6,1014,Taipa
2/3/2020,21.1,18,27.8,0,74,8,1017.1,Taipa
3/3/2020,19.8,16.9,22.9,7.6,73,6.9,1017.4,Taipa
4/3/2020,15.1,12.9,22.3,9.7,1,12.2,1019,Taipa
5/3/2020,17.6,12.8,19.7,0,9,6.8,1019.9,Taipa
6/3/2020,19.6,13.4,21,0,123,6.7,1016.8,Taipa
7/3/2020,21.2,17.3,22.6,0.5,99,4.3,1013.1,Taipa
8/3/2020,23.5,18.6,25,0,141,13.1,1009.4,Taipa
9/3/2020,22.3,22.1,27,0.3,143,12.2,1007.2,Taipa
10/3/2020,19.3,14.4,25,,1,22.8,1015.3,Taipa
11/3/2020,17.5,13,23.8,0,64,7.2,1017.9,Taipa
12/3/2020,20.1,14.7,22.3,0,78,4,1014.7,Taipa
13/3/2020,20.2,16.7,24.7,8.1,56,7.6,1014.9,Taipa
14/3/2020,19.2,14.7,25.4,0.5,2,17.8,1018.6,Taipa
15/3/2020,20.1,13.5,25.4,0,17,6.8,1019.3,Taipa
16/3/2020,21.3,15.7,24.9,0,111,8.4,1019.1,Taipa
17/3/2020,20,17.6,24.9,0,80,6.9,1018.2,Taipa
18/3/2020,20.4,18.6,22,9.1,91,6,1015.5,Taipa
19/3/2020,19.3,18,22,24.9,46,5.3,1014.6,Taipa
20/3/2020,20.4,18,21.2,2,77,4.2,1015,Taipa
21/3/2020,22.8,18.2,26,0.3,121,8.5,1014.2,Taipa
22/3/2020,25.1,20,29.1,0,167,5.5,1013.2,Taipa
23/3/2020,25.2,20,30,0,161,6,1013.2,Taipa
24/3/2020,24.5,21.1,30,0,141,7.4,1014.2,Taipa
25/3/2020,23.8,20.9,28.5,0.5,143,9.8,1013.3,Taipa
26/3/2020,24.1,21,27.7,4.1,133,8.7,1012.5,Taipa
27/3/2020,21.7,19.8,28,79.2,84,10.7,1012.4,Taipa
28/3/2020,18.3,14.9,27.3,0.3,355,15.4,1014.4,Taipa
29/3/2020,16.4,14,22.5,2.8,46,6.8,1013.1,Taipa
30/3/2020,13.7,13,20.5,1.3,4,11,1013.4,Taipa
31/3/2020,14.6,13,15,1.3,345,8.8,1014.3,Taipa
1/4/2020,15.3,13.7,17.2,12.2,9,8.2,1016,Taipa
2/4/2020,16.6,13.7,20,0.5,16,5.3,1017.1,Taipa
3/4/2020,16.7,15.4,20,16.5,7,10,1017.2,Taipa
4/4/2020,16.8,13.7,22.3,9.9,359,11.7,1018.9,Taipa
5/4/2020,15.9,13.6,22.3,17.8,3,9.5,1019.8,Taipa
6/4/2020,15.2,14,16.8,33.8,359,7.2,1017.4,Taipa
7/4/2020,18.8,14.1,22.8,0,357,5.6,1016.1,Taipa
8/4/2020,21.3,15.1,25.4,0,22,3.7,1016,Taipa
9/4/2020,23.1,15.6,28.8,0,87,5.4,1016.8,Taipa
10/4/2020,23.4,15.6,28.8,0,137,7.9,1017.4,Taipa
11/4/2020,19,17,27,2.3,28,8.8,1015.3,Taipa
12/4/2020,18.2,8.6,24,2.3,347,21.5,1019.2,Taipa
13/4/2020,20.1,8.4,24.5,0,352,9.1,1019.7,Taipa
14/4/2020,18.4,11.7,24.4,0,313,5.3,1017.3,Taipa
15/4/2020,21.9,11.4,27.4,0,217,5.4,1015,Taipa
16/4/2020,23.9,14.5,29,0,133,7.8,1013.5,Taipa
17/4/2020,24.5,16.8,28.2,0,88,6.4,1014.3,Taipa
18/4/2020,24.7,19.2,28.2,0,129,6.9,1013.2,Taipa
19/4/2020,27.1,20.8,31,0,145,6.6,1011.8,Taipa
20/4/2020,27.5,22.3,31.3,0,149,9,1011.5,Taipa
21/4/2020,25.8,19.7,31.3,1.5,142,10.2,1011.1,Taipa
22/4/2020,17.9,16.2,29.1,27.4,13,13.9,1014.9,Taipa
23/4/2020,18.1,16.2,20,0.3,2,11,1018,Taipa
24/4/2020,16.8,14.5,19.8,3,351,12.6,1020.1,Taipa
25/4/2020,21.6,14.2,24.4,0.3,336,4.7,1018.3,Taipa
26/4/2020,23.5,16.8,28,0,339,7.2,1017.1,Taipa
27/4/2020,25.4,17.7,30.8,0,12,5.3,1016.8,Taipa
28/4/2020,26.2,17.6,32,0,78,6.8,1016.4,Taipa
29/4/2020,26,18.3,31.7,0,151,6.7,1016.4,Taipa
30/4/2020,27.1,19.3,31,0,131,7.7,1014.6,Taipa
1/5/2020,27.4,20.3,31,0,157,7.8,1011.8,Taipa
2/5/2020,27.6,23.4,32,0,147,9.5,1009.6,Taipa
3/5/2020,30.1,23.1,34.8,0,184,8.4,1008.6,Taipa
4/5/2020,30.2,25,35,0,175,11.6,1008.3,Taipa
5/5/2020,30.3,24.5,35,0,152,12.5,1007,Taipa
6/5/2020,30.3,24.3,34,0,145,12.8,1007.1,Taipa
7/5/2020,29.8,27.1,32,0,141,14.2,1007.2,Taipa
8/5/2020,30.4,27.3,33,0,152,14.6,1007.1,Taipa
9/5/2020,30.7,27.3,34,0,165,13.1,1007.9,Taipa
10/5/2020,26.3,23.3,32.3,23.4,93,8.1,1009.4,Taipa
11/5/2020,26.6,22.9,32.2,22.1,352,7,1010.1,Taipa
12/5/2020,27.4,22.8,32.4,0,350,8.7,1011,Taipa
13/5/2020,27.7,23.4,32,12.2,115,8.5,1011.2,Taipa
14/5/2020,27.1,23.2,31.6,2.3,130,11.8,1010.2,Taipa
15/5/2020,28.9,24.6,32,0.5,137,12.2,1007.1,Taipa
16/5/2020,27.2,22.4,33,33,132,7.6,1007.1,Taipa
17/5/2020,26.9,22.7,33,14.5,268,6.5,1005.2,Taipa
18/5/2020,27.1,22.5,33,0,103,5.5,1003.8,Taipa
19/5/2020,28.2,22.4,32.9,4.1,99,7.2,1004.6,Taipa
20/5/2020,27.3,24.7,32.9,88.1,98,9.8,1004.9,Taipa
21/5/2020,27.3,24.4,31.2,218.9,113,7.1,1002.5,Taipa
22/5/2020,27.2,24.2,30.7,0.8,3,10.5,1003,Taipa
23/5/2020,27.6,23.9,30,1.5,59,6,1006.1,Taipa
24/5/2020,27.9,23.6,31,0.5,124,6.5,1008.8,Taipa
25/5/2020,27.6,24.8,30,5.3,112,8.1,1008.7,Taipa
26/5/2020,29.1,25,33.9,2.3,291,8.2,1007,Taipa
27/5/2020,26.3,22.9,33.9,9.7,8,10.3,1009,Taipa
28/5/2020,27.6,22.9,30.5,1.5,36,5.4,1010,Taipa
29/5/2020,27.9,24.2,30,12.2,121,9,1009,Taipa
30/5/2020,27.2,24.2,30.6,5.1,141,7.6,1009.6,Taipa
31/5/2020,25.8,24,31.6,90.4,61,6.9,1009.9,Taipa
1/6/2020,25.7,24.2,31.6,10.7,59,6.5,1009.7,Taipa
2/6/2020,26.7,24.5,30.3,1,116,7.5,1008.8,Taipa
3/6/2020,26.6,23.7,32,19.6,108,8.6,1007.5,Taipa
4/6/2020,30.2,23.7,34,7.6,147,10.4,1006.6,Taipa
5/6/2020,27,23.7,35,45.2,147,10,1006.3,Taipa
6/6/2020,25.8,23,32.1,31,75,7.3,1006.2,Taipa
7/6/2020,26.3,23,28,21.6,101,7.1,1004.6,Taipa
8/6/2020,26.1,23.9,28,32.5,89,9.6,1005.2,Taipa
9/6/2020,25.6,23.5,30,19.1,110,7,1007.1,Taipa
10/6/2020,28.1,23.3,33.1,8.1,79,6,1008,Taipa
11/6/2020,30.3,24.9,35,0,141,8.6,1006.5,Taipa
12/6/2020,30.9,24.6,34.6,0,145,7.7,1004.7,Taipa
13/6/2020,30.2,24.5,34.6,2.8,61,9,1004.3,Taipa
14/6/2020,27.2,25,32.6,7.1,102,12,1007.3,Taipa
15/6/2020,28.4,23.8,33,30.7,128,10.1,1010,Taipa
16/6/2020,28.7,23.8,33,18,161,10.6,1008.5,Taipa
17/6/2020,26.9,24,33,11.4,138,9.3,1007.1,Taipa
18/6/2020,29.6,24.3,33,0.3,147,9.9,1007.5,Taipa
19/6/2020,30.4,26.1,34,0,149,8.9,1008,Taipa
20/6/2020,30.9,25.7,34,0,167,8.9,1007.2,Taipa
21/6/2020,31.5,26,34,0.3,185,12.9,1005,Taipa
22/6/2020,31.8,27.5,35,,161,13.4,1004.9,Taipa
23/6/2020,32.1,28.1,35,0,180,12.1,1005.8,Taipa
24/6/2020,31.9,28.3,35,0,176,14.1,1005,Taipa
25/6/2020,28.2,24,34.1,17.5,154,14.1,1004.8,Taipa
26/6/2020,31.4,24.3,35,2.8,149,13.2,1006.1,Taipa
27/6/2020,31.2,27.6,35,0,160,13.4,1006.9,Taipa
28/6/2020,31.4,26.9,35,0,155,12.3,1006.5,Taipa
29/6/2020,31.4,26.2,36,0,161,8.8,1005.2,Taipa
30/6/2020,32,26.2,36,0,154,8.6,1003.4,Taipa
1/7/2020,29.7,26.4,35.3,0,103,8.9,1003.4,Taipa
2/7/2020,28.9,26.1,33.4,4.3,121,10.3,1004.2,Taipa
3/7/2020,27.6,26,31,18.5,105,7.4,1007.6,Taipa
4/7/2020,27.7,25.4,31.4,18,96,7.1,1008.4,Taipa
5/7/2020,29.7,25.3,33,8.4,135,9.5,1006.2,Taipa
6/7/2020,30.8,25.4,34,1.8,167,11.7,1005.9,Taipa
7/7/2020,31.2,26.5,34.1,0,162,11,1007.9,Taipa
8/7/2020,31.1,27.8,34.1,0,192,14.3,1005.7,Taipa
9/7/2020,31.6,28.4,34,0,183,16.3,1002.3,Taipa
10/7/2020,30.9,28.6,34,0,163,16,1003.9,Taipa
11/7/2020,31.3,28.7,36,0,155,17.4,1005.4,Taipa
12/7/2020,31.9,26.3,36,0,148,14,1006.4,Taipa
13/7/2020,32.4,25.9,37.4,0,158,6.4,1006.9,Taipa
14/7/2020,33.5,26,38,0,238,7.2,1005.6,Taipa
15/7/2020,32.9,28.1,37,0,188,11.6,1004.5,Taipa
16/7/2020,32.5,28,37,0,184,13.5,1005.4,Taipa
17/7/2020,32.4,28.3,36,0,172,16.5,1006.9,Taipa
18/7/2020,32.2,28,37,0,169,15.5,1006.6,Taipa
19/7/2020,31.8,27.8,36,0,166,15.6,1006.3,Taipa
20/7/2020,31.7,28.2,36,0,150,13.1,1008.3,Taipa
21/7/2020,31.4,25.2,35,0,158,10.3,1009.6,Taipa
22/7/2020,30.8,25.2,35.5,0.8,119,8,1008.6,Taipa
23/7/2020,32.3,25.9,36,0,150,8.5,1008,Taipa
24/7/2020,33.2,25.6,37.7,0,141,7.1,1007.4,Taipa
25/7/2020,33.4,26.8,38,0,177,9.9,1005.9,Taipa
26/7/2020,32.5,27.7,37.1,0,159,10.9,1005.2,Taipa
27/7/2020,32.3,28.3,37,0,178,13.6,1004.9,Taipa
28/7/2020,32.6,25.8,38,4.3,171,10.5,1006.4,Taipa
29/7/2020,31.6,25.3,38,6.6,152,9.7,1006.4,Taipa
30/7/2020,31.2,25.1,37.9,0,72,9.8,1006.7,Taipa
31/7/2020,29.4,25.6,35.2,4.6,52,13.4,1005,Taipa
1/8/2020,27.9,24.8,33,15.2,71,15.7,1004.5,Taipa
2/8/2020,28.1,24.8,32,3.6,77,12.2,1004.4,Taipa
3/8/2020,28.3,25.1,32,4.8,86,10.5,1003.1,Taipa
4/8/2020,28.1,25.1,33.6,5.6,76,7.7,1003.4,Taipa
5/8/2020,26.1,24.5,33.6,35.6,99,8.2,1007.4,Taipa
6/8/2020,29.9,24.3,34,5.6,89,7.5,1009.5,Taipa
7/8/2020,30.5,25.2,34.8,0,109,8,1007.5,Taipa
8/8/2020,31.6,25,35.7,0,121,7.5,1005.1,Taipa
9/8/2020,31.9,25.6,36,0,169,8.4,1003.3,Taipa
10/8/2020,32.1,27.1,36.8,0,155,9.3,1003.1,Taipa
11/8/2020,30.3,24,35.7,41.9,150,12.1,1004.9,Taipa
12/8/2020,27.3,24,33.4,14.2,97,9.2,1009.6,Taipa
13/8/2020,28,24.4,32.4,1.8,108,8.1,1010.6,Taipa
14/8/2020,28.7,25.5,33,1.5,120,8.2,1009.2,Taipa
15/8/2020,27.9,25.2,32.9,1.3,47,5.8,1008.3,Taipa
16/8/2020,29.4,25.2,34,0.3,103,7.7,1008.3,Taipa
17/8/2020,28.4,24.2,34,0.5,81,7.8,1008.3,Taipa
18/8/2020,28.6,23.9,34,13.5,35,8.1,1006.9,Taipa
19/8/2020,26.4,23.9,33.1,15.2,71,14.6,1005.8,Taipa
20/8/2020,28.9,24.6,34,0,77,6.2,1008.7,Taipa
21/8/2020,30.8,24.9,35.3,0,17,4.8,1008.6,Taipa
22/8/2020,29.9,25.4,35.3,0,1,6.7,1007.8,Taipa
23/8/2020,31.1,25.2,35.7,0,14,4.9,1006.3,Taipa
24/8/2020,31.9,25.9,36.3,10.2,217,7.6,1004.2,Taipa
25/8/2020,32.1,26,36.3,0,233,9.2,1002.6,Taipa
26/8/2020,28.8,24,35,54.6,215,9.6,1001.1,Taipa
27/8/2020,29.6,23.9,34.8,0,0,5.6,1000.1,Taipa
28/8/2020,31.2,24.8,36.2,0,15,6.7,1002,Taipa
29/8/2020,31.2,24.7,36.2,0,13,6.3,1003.7,Taipa
30/8/2020,31.6,25.6,36,0.5,35,7.5,1005,Taipa
31/8/2020,30.2,25.7,35.8,,3,8,1006.2,Taipa
1/9/2020,30.1,25.4,36.1,0,1,5.7,1005.2,Taipa
2/9/2020,31.5,25.5,36.1,0,1,6.1,1005.9,Taipa
3/9/2020,31.9,24.9,36.8,0,25,5.8,1007.7,Taipa
4/9/2020,27.7,24,36.8,20.8,25,7.8,1008.5,Taipa
5/9/2020,27.3,24.1,32.9,0.5,64,6.6,1007.2,Taipa
6/9/2020,30.1,24,34.1,0.3,100,6.6,1005.5,Taipa
